song_label,ref_label,cmp_label,tuning_cents_cmp,tuning_cents_ref,delta_tuning_cents,semitone_shift_vs_ref,chroma_similarity,speed_factor_from_pitch,duration_ratio_ref_over_cmp
yagn_t2,BS11,BS11,-20.0,-20.0,0.0,0,1.0,1.0,1.0
yagn_t2,BS11,CAR,-19.0,-20.0,1.0,0,0.9999993443489075,1.0,1.0000020541312895
yagn_t2,BS11,ATWR,-19.0,-20.0,1.0,0,0.9978416562080383,1.0,0.9969495063016778
yagn_t2,BS11,MUTM,27.0,-20.0,47.0,0,0.9781859517097473,1.0,1.0105785661974125
yagn_t2,BS11,SBD,-20.0,-20.0,0.0,0,0.9979177713394165,1.0,1.001613033309138
yagn_t2,BS11,RSD,-20.0,-20.0,0.0,0,0.9999672174453735,1.0,0.9984041660126738
yagn_t2,BS11,TGBT,-31.0,-20.0,-11.0,-1,0.9931813478469849,0.9438743126816935,1.074493857068697
yagn_t2,BS11,CBST,-19.0,-20.0,1.0,0,0.9979588389396667,1.0,1.022644927536232
yagn_t2,BS11,FTR,-18.0,-20.0,2.0,0,0.9978312253952026,1.0,1.023825226710635
yagn_t2,BS11,FTR,21.999999999999996,-20.0,42.0,0,0.9789969325065613,1.0,0.9989543114543116
